name,lifecycle_policy,image_count,total_size_bytes,total_size_mb,total_size_gb,total_size_tb,tags
alpine,null,1,3349202,3.1940479278564453,0.00311918742954731,3.046081474167295e-06,[]
mugen-profile,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-careers,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-guides-landing,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-admin,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-guides-cms,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-trail,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-location-app-router,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-gift,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-about,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
